Date,Category,Volume,
2/1,Category A,1150,
2/1,Category B,2000,
2/1,Category C,3000,
2/1,Category D,1800,
2/1,Category E,250,
2/2,Category A,800,
2/2,Category B,1200,
2/2,Category C,1800,
2/2,Category D,500,
2/2,Category E,150,
2/3,Category A,800,
2/3,Category B,480,
2/3,Category C,590,
2/3,Category D,200,
2/3,Category E,45, 
2/4,Category A,70,
2/4,Category B,95,
2/4,Category C,120,
2/4,Category D,145,
2/4,Category E,170,
2/5,Category A,195,
2/5,Category B,220,
2/5,Category C,245,
2/5,Category D,270,
2/5,Category E,295,
2/6,Category A,320,
2/6,Category B,345,
2/6,Category C,370,
2/6,Category D,395,
2/6,Category E,420,
2/7,Category A,445,
2/7,Category B,470,
2/7,Category C,495,
2/7,Category D,520,
2/7,Category E,545,
2/8,Category A,533,
2/8,Category B,521,
2/8,Category C,509,
2/8,Category D,497,
2/8,Category E,485,
2/9,Category A,473,
2/9,Category B,461,
2/9,Category C,449,
2/9,Category D,437,
2/9,Category E,425,
2/10,Category A,413,
2/10,Category B,401,
2/10,Category C,389,
2/10,Category D,377,
2/10,Category E,365,
2/11,Category A,425,
2/11,Category B,485,
2/11,Category C,545,
2/11,Category D,605,
2/11,Category E,665,
2/12,Category A,725,
2/12,Category B,785,
2/12,Category C,845,
2/12,Category D,905,
2/12,Category E,965,
2/13,Category A,1025,
2/13,Category B,1085,
2/13,Category C,1145,
2/13,Category D,1205,
2/13,Category E,1265,
2/14,Category A,1306,
2/14,Category B,1347,
2/14,Category C,1388,
2/14,Category D,1429,
2/14,Category E,1470,
2/15,Category A,1511,
2/15,Category B,1552,
2/15,Category C,1593,
2/15,Category D,1634,
2/15,Category E,1675,
2/16,Category A,1716,
2/16,Category B,1757,
2/16,Category C,1798,
2/16,Category D,1839,
2/16,Category E,1880,
2/17,Category A,1921,
2/17,Category B,1962,
2/17,Category C,2003,
2/17,Category D,2044,
2/17,Category E,2085,
2/18,Category A,1995,
2/18,Category B,1905,
2/18,Category C,1815,
2/18,Category D,1725,
2/18,Category E,1635,
2/19,Category A,1545,
2/19,Category B,1455,
2/19,Category C,1365,
2/19,Category D,1275,
2/19,Category E,1185,
2/20,Category A,1095,
2/20,Category B,1005,
2/20,Category C,915,
2/20,Category D,825,
2/20,Category E,735,
2/21,Category A,645,
2/21,Category B,555,
2/21,Category C,465,
2/21,Category D,375,
2/21,Category E,285,
2/22,Category A,405,
2/22,Category B,525,
2/22,Category C,645,
2/22,Category D,765,
2/22,Category E,885,
2/23,Category A,1005,
2/23,Category B,1125,
2/23,Category C,1245,
2/23,Category D,1365,
2/23,Category E,1485,
2/24,Category A,1605,
2/24,Category B,1725,
2/24,Category C,1845,
2/24,Category D,1965,
2/24,Category E,2085,
2/25,Category A,2205,
2/25,Category B,2325,
2/25,Category C,2445,
2/25,Category D,2565,
2/25,Category E,2685,
2/26,Category A,2741,
2/26,Category B,2797,
2/26,Category C,2853,
2/26,Category D,2909,
2/26,Category E,2965,
2/27,Category A,3021,
2/27,Category B,3077,
2/27,Category C,3133,
2/27,Category D,3189,
2/27,Category E,3245,
2/28,Category A,3204,
2/28,Category B,3163,
2/28,Category C,3122,
2/28,Category D,3081,
2/28,Category E,3040,
