Date,Category 1,Category 2,Category 3,Category 4,Category 5
2/1,15,2,6,59,4
2/2,20,3,24,85,8
2/3,28,7,23,128,12
2/4,55,8,60,192,13
2/5,41,10,63,122,8
2/6,36,12,96,212,10
2/7,32,7,68,233,9
2/8,50,3,61,250,16
2/9,73,4,88,421,32
2/10,99,1,101,415,40
2/11,98,13,114,425,41
2/12,87,6,150,450,40
2/13,65,5,93,341,26
2/14,44,5,80,271,23
2/15,59,4,81,285,14
2/16,71,8,120,438,42
2/17,73,6,96,401,29
2/18,55,10,89,392,37
2/19,57,6,74,331,22
2/20,39,2,47,280,25
2/21,35,2,37,163,16
2/22,36,3,43,172,15
2/23,62,4,82,312,21
2/24,67,4,75,282,36
2/25,53,6,33,258,37
2/26,48,7,51,180,37
2/27,62,7,60,337,30
2/28,15,7,24,152,2
